# provenance: CANONICAL Apple M4 sweep: secret-fraction crossover, both lanes, 4 arms. The paper figure's y is ipc_ovh_pct (nodit ipc / arm ipc - 1), the same quantity the gem5 figure plots; vs_base_pct is the cycles ratio. pub_* columns are the same arm with --nosecret, i.e. the PUBLIC lane alone, which is where blanket's whole bill comes from
# run 2026-09-08T00:56:33-0500 on bellingham.csres.utexas.edu (Apple M4, kernel 24.6.0); unrooted, thread NOT pinned -- samples that migrated are rejected by the implied-clock gate and counted in the rejects column
# clang from llvm-data-independent-timing 81782113460d; driver sha256 c91bc6f061649111.., byte-identical to gem5-DIT's benchmarks/signed_lookup/signed_lookup_gem5.c at the pinned commit, with utils/dit_host_screening/signed_lookup/silicon/hdr_const_param.patch applied (HDR_CONST becomes a -D; no other change)
# libsodium 1.0.21 --disable-asm -march=armv8.4-a; arms base / taint / taintnop from utils/taint_libsodium_arms.sh at the shipped defaults (callee contract, DIT twins, contract fixpoint seeds, owned list)
# instrument: PMC0 (cycles, bare) and PMC1 (instructions, isb-ordered) read from EL0; CNTVCT_EL0 at 1 GHz gives the implied clock, and a sample outside 3.4-5.0 GHz is rejected as a thread migration and counted
# lane: HDR_CONST is the value every record header holds. wide = 0x2545F4914F6CDD1D (62 bits), the value every gem5 sweep used; narrow = 0xCAFEBABE (32 bits). This machine's load value predictor holds 36 bits (m4_header_width.csv), so it predicts the narrow header and not the wide one
# one serialising `msr DIT` on this part: 33.51 cycles (11.50 for a same-value write), measured by dit_switch_cost.c in this run
# cycles = median of the FAST cluster of n valid samples. Once the tables leave L1 a run's cycles come out bimodal ~15% apart on the physical pages the kernel hands the BSS; n_hi counts the slow-cluster samples, which are kept in the JSONL and excluded from the median. Below 128 KB of table there is no split and this is the plain median.
lane,L,pred_q4,tblbits,f_secret_pct,arm,requests,cycles,insts,ipc,cyc_per_request,vs_base_pct,ipc_ovh_pct,ins_vs_base_per_req,dit_cyc_per_req,switches_per_req,pub_cycles,pub_insts,pub_ipc,pub_vs_base_pct,pub_cyc_per_lookup,n,n_all,n_hi,lottery_gap,rejects,spread_pct,warmup,checksum_pub
narrow,10,3,9,95.8,nodit,155607,171850469.0,800166863.0,4.6562,1104.4,0.0,0.0,0.0,,,7223036.0,32366663.0,4.481,0.0,4.642,15,15,0,1.0,0,0.51,116705,9174132223106769571
narrow,10,3,9,95.8,blanket,155607,173559804.0,800169701.0,4.6103,1115.4,0.99,0.99,0.02,,,8838930.0,32366664.0,3.6618,22.37,5.68,15,15,0,1.0,0,3.36,116705,9174132223106769571
narrow,10,3,9,95.8,pass,155607,371568741.0,811561422.0,2.1841,2387.9,116.22,113.18,73.23,1272.3,38.0,7210486.0,32366664.0,4.4888,-0.17,4.634,15,15,0,1.0,1,1.1,116705,9174132223106769571
narrow,10,3,9,95.8,nop,155607,173584708.0,811522167.0,4.6751,1115.5,1.01,-0.4,72.97,,,7209746.0,32366664.0,4.4893,-0.18,4.633,15,15,0,1.0,0,2.48,116705,9174132223106769571
narrow,30,3,9,84.14,nodit,129963,169241386.0,704693647.0,4.1638,1302.2,0.0,0.0,0.0,,,26844601.0,63430801.0,2.3629,0.0,6.885,15,15,0,1.0,0,2.93,97472,15991637988097216964
narrow,30,3,9,84.14,blanket,129963,187207114.0,704693630.0,3.7642,1440.5,10.62,10.62,-0.0,,,34844995.0,63430803.0,1.8204,29.8,8.937,15,15,0,1.0,0,2.94,97472,15991637988097216964
narrow,30,3,9,84.14,pass,129963,347312808.0,714221939.0,2.0564,2672.4,105.22,102.48,73.32,1360.6,40.6,26843884.0,63430802.0,2.363,-0.0,6.885,15,15,0,1.0,0,1.0,97472,15991637988097216964
narrow,30,3,9,84.14,nop,129963,170481365.0,714181426.0,4.1892,1311.8,0.73,-0.61,73.0,,,26852129.0,63435310.0,2.3624,0.03,6.887,15,15,0,1.0,1,2.86,97472,15991637988097216964
narrow,50,3,9,73.46,nodit,94027,151293174.0,536179871.0,3.544,1609.0,0.0,0.0,0.0,,,40157850.0,72221593.0,1.7984,0.0,8.542,15,15,0,1.0,0,2.56,70520,4333465135652281426
narrow,50,3,9,73.46,blanket,94027,170073204.0,536177380.0,3.1526,1808.8,12.41,12.41,-0.03,,,52461042.0,72230043.0,1.3768,30.64,11.159,15,15,0,1.0,0,2.24,70520,4333465135652281426
