# provenance: WHAT ONE PLACEMENT COSTS PER CALL. --chunks N splits a request into N pieces, L/N lookups then one AEAD call over a 100/N-byte slice under its own nonce: the same public work in N runs and the same secret bytes in N calls, so a per-call placement pays N times. (arm - its NOP twin) / N is therefore the cost of ONE placement with layout removed. Apple's bracket lands at 455-510 cycles per call and the pass at 1,260-1,340. It is not perfectly constant: at 25 calls per request with only 8 lookups between them the bracket falls to 304, because `sb` drains what is in flight and there is less in it
# run 2026-09-08T07:48:53-0500 on bellingham.csres.utexas.edu (Apple M4, kernel 24.6.0); unrooted, thread NOT pinned -- samples that migrated are rejected by the implied-clock gate and counted in the rejects column
# clang from llvm-data-independent-timing b2bf47d508cc (WORKING TREE DIRTY); driver sha256 c91bc6f061649111.., byte-identical to gem5-DIT's benchmarks/signed_lookup/signed_lookup_gem5.c at the pinned commit, with utils/dit_host_screening/signed_lookup/silicon/hdr_const_param.patch applied (HDR_CONST becomes a -D; no other change)
# libsodium 1.0.21 --disable-asm -march=armv8.4-a; library arms base / taint / taintnop from utils/taint_libsodium_arms.sh at the shipped defaults (callee contract, DIT twins, contract fixpoint seeds, owned list)
# arms: nodit unhardened | blanket the same binary with DIT set before the ROI | bracket = the unhardened library with Apple's own prologue/epilogue around the AEAD entry points (mrs DIT token, msr DIT #1, sb, the call, msr DIT #0 only if it was clear) from utils/dit_host_screening/cioparity/api_bracket.c, which is what AWS-LC ships | bracketnop its instruction-matched twin (token read -> mov xzr, both writes and the barrier -> nop, so the restore takes the same branch) | bracketnobar Apple's sequence minus the speculation barrier, to split the bill; not a shippable configuration | pass = -ftaint-harden | nop its NOP twin. dit_cyc_per_req is (arm - twin) cycles per request, which is what the mode writes cost with layout removed
# instrument: PMC0 (cycles, bare) and PMC1 (instructions, isb-ordered) read from EL0; CNTVCT_EL0 at 1 GHz gives the implied clock, and a sample outside 3.4-5.0 GHz is rejected as a thread migration and counted
# lane: HDR_CONST is the value every record header holds. wide = 0x2545F4914F6CDD1D (62 bits), the value every gem5 sweep used; narrow = 0xCAFEBABE (32 bits). This machine's load value predictor holds 36 bits (m4_header_width.csv), so it predicts the narrow header and not the wide one
# one serialising `msr DIT` on this part: 33.51 cycles (11.50 for a same-value write), measured by dit_switch_cost.c in this run
# cycles = median of the FAST cluster of n valid samples. Once the tables leave L1 a run's cycles come out bimodal ~15% apart on the physical pages the kernel hands the BSS; n_hi counts the slow-cluster samples, which are kept in the JSONL and excluded from the median. Below 128 KB of table there is no split and this is the plain median.
lane,L,value,label,pred_q4,tblbits,requests,f_secret_pct,base_cyc_per_req,bracket_minus_twin_cyc,bracket_per_call_cyc,pass_minus_nop_cyc,pass_per_call_cyc,n,n_all,rejects,spread_pct
narrow,200,1,1 calls,3,9,35308,32.54,3635.4,506.9,506.9,1334.0,1334.0,15,15,1,1.07
narrow,200,2,2 calls,3,9,26592,44.95,3949.5,925.5,462.7,2649.9,1325.0,15,15,0,1.87
narrow,200,5,5 calls,3,9,14458,72.26,5607.1,2279.2,455.8,6692.4,1338.5,15,15,1,3.11
narrow,200,10,10 calls,3,9,8190,86.35,8144.5,4551.8,455.2,13209.8,1321.0,6,15,0,0.89
narrow,200,25,25 calls,3,9,3524,95.72,18424.8,7608.1,304.3,31526.5,1261.1,4,15,0,0.26
narrow,1000,1,1 calls,3,9,11142,7.89,14453.4,475.5,475.5,1334.7,1334.7,15,15,2,0.23
narrow,1000,2,2 calls,3,9,10074,11.48,14741.6,925.6,462.8,2640.4,1320.2,15,15,2,0.52
narrow,1000,5,5 calls,3,9,7645,25.5,16438.4,2312.3,462.5,6688.2,1337.6,15,15,2,1.05
narrow,1000,10,10 calls,3,9,5449,42.33,18875.3,4593.5,459.4,13265.5,1326.6,15,15,1,2.4
narrow,1000,25,25 calls,3,9,2896,71.27,26886.5,12295.2,491.8,32800.5,1312.0,5,15,0,0.31
