# provenance: CANONICAL Apple M4 sweep: secret-fraction crossover, both lanes, 7 arms including Apple's own bracket and its instruction-matched twin. The paper figure's y is ipc_ovh_pct (nodit ipc / arm ipc - 1), the same quantity the gem5 figure plots; vs_base_pct is the cycles ratio. pub_* columns are the same arm with --nosecret, i.e. the PUBLIC lane alone, which is where blanket's whole bill comes from
# run 2026-09-08T14:27:21-0500 on bellingham.csres.utexas.edu (Apple M4, kernel 24.6.0); unrooted, thread NOT pinned -- samples that migrated are rejected by the implied-clock gate and counted in the rejects column
# clang from llvm-data-independent-timing 84522e881f68 (WORKING TREE DIRTY); driver sha256 c91bc6f061649111.., byte-identical to gem5-DIT's benchmarks/signed_lookup/signed_lookup_gem5.c at the pinned commit, with utils/dit_host_screening/signed_lookup/silicon/hdr_const_param.patch applied (HDR_CONST becomes a -D; no other change)
# libsodium 1.0.21 --disable-asm -march=armv8.4-a; library arms base / taint / taintnop from utils/taint_libsodium_arms.sh at the shipped defaults (callee contract, DIT twins, contract fixpoint seeds, owned list)
# arms: nodit unhardened | blanket the same binary with DIT set before the ROI | bracket = the unhardened library with Apple's own prologue/epilogue around the AEAD entry points (mrs DIT token, msr DIT #1, sb, the call, msr DIT #0 only if it was clear) from utils/dit_host_screening/cioparity/api_bracket.c, which is what AWS-LC ships | bracketnop its instruction-matched twin (token read -> mov xzr, both writes and the barrier -> nop, so the restore takes the same branch) | bracketnobar Apple's sequence minus the speculation barrier, to split the bill; not a shippable configuration | pass = -ftaint-harden | nop its NOP twin. dit_cyc_per_req is (arm - twin) cycles per request, which is what the mode writes cost with layout removed
# instrument: PMC0 (cycles, bare) and PMC1 (instructions, isb-ordered) read from EL0; CNTVCT_EL0 at 1 GHz gives the implied clock, and a sample outside 3.4-5.0 GHz is rejected as a thread migration and counted
# lane: HDR_CONST is the value every record header holds. wide = 0x2545F4914F6CDD1D (62 bits), the value every gem5 sweep used; narrow = 0xCAFEBABE (32 bits). This machine's load value predictor holds 36 bits (m4_header_width.csv), so it predicts the narrow header and not the wide one
# one serialising `msr DIT` on this part: 33.52 cycles (11.50 for a same-value write), measured by dit_switch_cost.c in this run
# cycles = median of the FAST cluster of n valid samples. Once the tables leave L1 a run's cycles come out bimodal ~15% apart on the physical pages the kernel hands the BSS; n_hi counts the slow-cluster samples, which are kept in the JSONL and excluded from the median. Below 128 KB of table there is no split and this is the plain median.
lane,L,pred_q4,tblbits,f_secret_pct,arm,requests,cycles,insts,ipc,cyc_per_request,vs_base_pct,ipc_ovh_pct,ins_vs_base_per_req,twin,dit_cyc_per_req,switches_per_req,pub_cycles,pub_insts,pub_ipc,pub_vs_base_pct,pub_cyc_per_lookup,n,n_all,n_hi,lottery_gap,rejects,spread_pct,warmup,checksum_pub
narrow,10,3,9,85.26,nodit,330504,103946997.0,403906832.0,3.8857,314.5,0.0,0.0,0.0,,,,15318767.0,68745240.0,4.4876,0.0,4.635,11,11,0,1.0,0,6.05,198302,18319487350664443954
narrow,10,3,9,85.26,blanket,330504,116537620.0,403905964.0,3.4659,352.6,12.11,12.11,-0.0,,,,18797320.0,68745241.0,3.6572,22.71,5.687,11,11,0,1.0,0,6.13,198302,18319487350664443954
narrow,10,3,9,85.26,bracket,330504,214585135.0,409208208.0,1.907,649.3,106.44,103.76,16.04,bracketnop,332.8,9.9,15322988.0,68745240.0,4.4864,0.03,4.636,11,11,0,1.0,0,0.67,198302,18319487350664443954
narrow,10,3,9,85.26,bracketnop,330504,104587910.0,409188780.0,3.9124,316.4,0.62,-0.68,15.98,,,,15336826.0,68745240.0,4.4824,0.12,4.64,11,11,0,1.0,0,1.75,198302,18319487350664443954
narrow,30,3,9,64.39,nodit,216062,125231014.0,324556639.0,2.5917,579.6,0.0,0.0,0.0,,,,44594725.0,105448510.0,2.3646,0.0,6.88,11,11,0,1.0,0,5.04,129637,7830474941014659289
narrow,30,3,9,64.39,blanket,216062,154047120.0,324571952.0,2.107,713.0,23.01,23.0,0.07,,,,57890783.0,105455654.0,1.8216,29.82,8.931,11,11,0,1.0,0,3.67,129637,7830474941014659289
narrow,30,3,9,64.39,bracket,216062,218254460.0,328031557.0,1.503,1010.1,74.28,72.44,16.08,bracketnop,438.3,13.1,44595424.0,105447114.0,2.3645,0.0,6.88,11,11,0,1.0,0,0.55,129637,7830474941014659289
narrow,30,3,9,64.39,bracketnop,216062,123559691.0,328015239.0,2.6547,571.9,-1.33,-2.37,16.01,,,,44588446.0,105448642.0,2.3649,-0.01,6.879,11,11,0,1.0,0,3.62,129637,7830474941014659289
narrow,50,3,9,49.04,nodit,171083,143272891.0,304909822.0,2.1282,837.4,0.0,0.0,0.0,,,,73012627.0,131405111.0,1.7998,0.0,8.535,11,11,0,1.0,0,2.61,102649,7591448379652167301
narrow,50,3,9,49.04,blanket,171083,184689311.0,304939858.0,1.6511,1079.5,28.91,28.89,0.18,,,,95503680.0,131433102.0,1.3762,30.8,11.165,11,11,0,1.0,0,1.64,102649,7591448379652167301
narrow,50,3,9,49.04,bracket,171083,218985361.0,307668338.0,1.405,1280.0,52.84,51.47,16.12,bracketnop,437.3,13.0,73011574.0,131402118.0,1.7997,-0.0,8.535,11,11,0,1.0,2,0.24,102649,7591448379652167301
narrow,50,3,9,49.04,bracketnop,171083,144172783.0,307644865.0,2.1339,842.7,0.63,-0.27,15.99,,,,73037408.0,131409757.0,1.7992,0.03,8.538,11,11,0,1.0,0,2.2,102649,7591448379652167301
